Subnet;Sensor
243;81948
243;81947
244;81980
244;81979
244;81982
89;82811
89;82810
297;81993
297;81992
297;81991
4;82005
4;82004
90;82823
90;82822
90;86599
91;82834
91;86653
92;82016
92;82017
92;82015
3;81907
3;81906
3;81905
7;88597
7;86419
7;86420
240;86425
240;86426
245;82871
245;82870
245;82873
308;82882
308;82881
348;89630
348;89629
279;85085
279;85084
279;85087
280;85114
280;85113
280;85116
281;85143
281;85142
281;85145
282;85172
282;85171
282;85174
283;85201
283;85200
283;85203
284;85230
284;85229
284;85232
302;82920
302;82919
302;82922
94;82934
94;82933
246;82964
246;82963
95;82977
95;82976
318;87392
318;87391
318;87394
141;84206
141;84205
247;83006
247;83007
374;93441
374;93442
357;91295
357;87315
357;87312
357;83033
357;83032
357;83031
357;83030
97;83081
97;83080
99;83106
99;83105
99;83104
101;83128
101;83130
101;83129
362;91774
362;91773
362;91775
249;83159
249;83158
249;42397
250;83187
250;83186
250;83189
102;83199
102;83198
103;59031
103;83210
104;83222
104;83221
105;83233
105;83232
106;83244
106;83243
107;86644
107;83256
107;83255
108;83267
108;83266
375;93489
375;93492
375;93490
251;83308
251;83307
110;83321
110;83320
252;83351
252;83350
252;83353
274;84560
274;84559
274;84562
253;83380
253;83379
253;87003
254;83409
254;83408
254;83411
255;83438
255;83437
255;83440
256;83467
256;83466
256;83469
309;86657
309;86645
111;83477
111;83478
303;83506
303;83505
323;87488
323;87487
323;87490
300;86540
300;86537
339;89158
339;89161
339;89159
339;89160
257;83549
257;83547
257;83546
114;83557
114;83558
115;83568
115;83569
116;83579
116;83580
117;87872
117;87871
118;83609
118;83608
358;91582
358;91581
358;91584
96;83070
96;83069
351;89798
351;89797
351;89792
120;83636
120;83635
121;83647
121;83646
98;87032
98;87389
122;13087
122;15539
122;83657
123;83669
123;83668
124;83682
124;83681
124;83680
125;83691
125;83692
258;83720
258;83719
292;83747
292;83746
259;83774
259;83775
259;83777
260;83804
260;83803
260;83806
261;83833
261;83832
261;83835
262;83861
262;83860
127;83874
127;83873
285;83904
285;83903
285;83906
263;83933
263;83932
263;83935
361;91726
361;91725
130;83962
130;83961
131;83978
131;83977
264;84007
264;84006
294;84035
294;84034
133;84048
133;84047
265;84078
265;84077
134;84088
134;84087
135;84099
135;84098
136;84110
136;84109
137;41646
137;84122
137;84121
138;84132
139;84146
139;84145
266;84176
266;84175
266;84178
140;84191
140;84190
142;84221
142;84220
143;84236
143;84235
144;84251
144;84250
145;84266
145;84265
267;84296
267;84295
267;85652
268;84328
268;84327
268;84330
146;84339
146;84338
147;84350
147;85650
148;84361
148;84360
347;89254
347;89255
347;89256
269;84403
269;84402
269;84405
150;84417
150;84416
270;84447
270;84446
270;84449
271;84476
271;84475
271;84478
363;92734
363;92733
363;92736
272;84505
272;84504
272;87002
273;84532
273;84531
273;84534
364;92782
364;92781
364;92784
151;84572
151;84571
152;84583
152;84582
153;84593
153;84594
316;87029
316;87030
154;84606
154;84605
154;84604
155;84616
155;84617
372;93301
372;93300
372;93303
173;85244
173;85243
275;84646
275;84645
275;86598
156;84661
156;84660
321;87379
321;87378
276;84783
276;84782
306;84811
306;84810
306;84813
350;89774
350;89773
350;89776
158;84825
158;84824
159;84840
159;84839
277;84869
277;84868
277;86597
365;92830
365;92829
365;92832
160;84883
160;84882
278;84913
278;84912
161;84926
161;84925
330;88550
330;88549
330;88552
163;84956
163;84955
163;84954
164;84967
164;84966
165;84979
165;84978
165;84977
166;57443
166;84990
167;85001
167;85000
168;85012
168;85011
169;85024
169;85023
170;85035
170;85034
171;85046
171;85045
172;85056
