type;Subnet;Sensor
AGUA;SUB_412;SEN_83547
AGUA;SUB_412;SEN_83546
AGUA;SUB_412;SEN_83549
AGUA;SUB_419;SEN_81980
AGUA;SUB_419;SEN_81979
AGUA;SUB_419;SEN_81982
AGUA;SUB_492;SEN_81948
AGUA;SUB_492;SEN_81947
AGUA;SUB_115;SEN_82811
AGUA;SUB_115;SEN_82810
AGUA;SUB_609;SEN_81993
AGUA;SUB_609;SEN_81992
AGUA;SUB_609;SEN_81991
AGUA;SUB_269;SEN_82834
AGUA;SUB_269;SEN_86653
AGUA;SUB_357;SEN_86425
AGUA;SUB_357;SEN_86426
AGUA;SUB_357;SEN_93835
AGUA;SUB_50;SEN_88597
AGUA;SUB_50;SEN_86419
AGUA;SUB_50;SEN_86420
AGUA;SUB_450;SEN_82005
AGUA;SUB_450;SEN_82004
AGUA;SUB_178;SEN_82823
AGUA;SUB_178;SEN_82822
AGUA;SUB_178;SEN_86599
AGUA;SUB_195;SEN_82017
AGUA;SUB_195;SEN_82016
AGUA;SUB_195;SEN_82015
AGUA;SUB_202;SEN_83558
AGUA;SUB_202;SEN_83557
AGUA;SUB_180;SEN_83569
AGUA;SUB_180;SEN_83568
AGUA;SUB_152;SEN_81907
AGUA;SUB_152;SEN_81906
AGUA;SUB_152;SEN_81905
AGUA;SUB_433;SEN_82871
AGUA;SUB_433;SEN_82870
AGUA;SUB_433;SEN_82873
AGUA;SUB_620;SEN_82882
AGUA;SUB_620;SEN_82881
AGUA;SUB_489;SEN_89630
AGUA;SUB_489;SEN_89629
AGUA;SUB_483;SEN_85085
AGUA;SUB_483;SEN_85084
AGUA;SUB_483;SEN_85087
AGUA;SUB_427;SEN_85114
AGUA;SUB_427;SEN_85113
AGUA;SUB_427;SEN_85116
AGUA;SUB_484;SEN_85143
AGUA;SUB_484;SEN_85142
AGUA;SUB_484;SEN_85145
AGUA;SUB_506;SEN_85201
AGUA;SUB_506;SEN_85200
AGUA;SUB_506;SEN_85203
AGUA;SUB_420;SEN_85230
AGUA;SUB_420;SEN_85229
AGUA;SUB_420;SEN_85232
AGUA;SUB_614;SEN_82920
AGUA;SUB_614;SEN_82919
AGUA;SUB_614;SEN_82922
AGUA;SUB_297;SEN_82934
AGUA;SUB_297;SEN_82933
AGUA;SUB_297;SEN_141658
AGUA;SUB_581;SEN_82964
AGUA;SUB_581;SEN_82963
AGUA;SUB_22;SEN_82977
AGUA;SUB_22;SEN_82976
AGUA;SUB_630;SEN_87392
AGUA;SUB_630;SEN_87391
AGUA;SUB_630;SEN_87394
AGUA;SUB_429;SEN_83007
AGUA;SUB_429;SEN_83006
AGUA;SUB_686;SEN_93442
AGUA;SUB_686;SEN_93441
AGUA;SUB_530;SEN_87315
AGUA;SUB_530;SEN_87312
AGUA;SUB_530;SEN_83032
AGUA;SUB_530;SEN_83033
AGUA;SUB_530;SEN_91290
AGUA;SUB_530;SEN_83030
AGUA;SUB_530;SEN_83036
AGUA;SUB_189;SEN_83081
AGUA;SUB_189;SEN_83080
AGUA;SUB_527;SEN_83106
AGUA;SUB_527;SEN_83105
AGUA;SUB_527;SEN_83104
AGUA;SUB_2;SEN_91774
AGUA;SUB_2;SEN_91773
AGUA;SUB_2;SEN_91775
AGUA;SUB_2;SEN_83128
AGUA;SUB_2;SEN_83130
AGUA;SUB_2;SEN_83129
AGUA;SUB_456;SEN_83159
AGUA;SUB_456;SEN_83158
AGUA;SUB_456;SEN_42397
AGUA;SUB_485;SEN_83187
AGUA;SUB_485;SEN_83186
AGUA;SUB_485;SEN_83189
AGUA;SUB_377;SEN_83199
AGUA;SUB_377;SEN_83198
AGUA;SUB_540;SEN_59031
AGUA;SUB_540;SEN_83210
AGUA;SUB_375;SEN_83222
AGUA;SUB_375;SEN_83221
AGUA;SUB_3;SEN_83233
AGUA;SUB_3;SEN_83232
AGUA;SUB_539;SEN_83244
AGUA;SUB_539;SEN_83243
AGUA;SUB_3;SEN_86644
AGUA;SUB_3;SEN_83256
AGUA;SUB_3;SEN_83255
AGUA;SUB_274;SEN_83267
AGUA;SUB_274;SEN_83266
AGUA;SUB_4;SEN_93489
AGUA;SUB_4;SEN_93492
AGUA;SUB_4;SEN_93490
AGUA;SUB_521;SEN_83308
AGUA;SUB_521;SEN_83307
AGUA;SUB_90;SEN_83321
AGUA;SUB_90;SEN_83320
AGUA;SUB_509;SEN_83351
AGUA;SUB_509;SEN_83353
AGUA;SUB_509;SEN_141688
AGUA;SUB_553;SEN_84560
AGUA;SUB_553;SEN_84559
AGUA;SUB_553;SEN_84562
AGUA;SUB_406;SEN_83409
AGUA;SUB_406;SEN_83408
AGUA;SUB_406;SEN_83411
AGUA;SUB_415;SEN_83438
AGUA;SUB_415;SEN_83437
AGUA;SUB_415;SEN_83440
AGUA;SUB_516;SEN_83467
AGUA;SUB_516;SEN_83466
AGUA;SUB_516;SEN_83469
AGUA;SUB_5;SEN_86657
AGUA;SUB_5;SEN_86645
AGUA;SUB_5;SEN_83477
AGUA;SUB_5;SEN_83478
AGUA;SUB_29;SEN_83506
AGUA;SUB_29;SEN_83505
AGUA;SUB_7;SEN_83579
AGUA;SUB_7;SEN_83580
AGUA;SUB_87;SEN_87872
AGUA;SUB_87;SEN_87871
AGUA;SUB_81;SEN_83609
AGUA;SUB_81;SEN_83608
AGUA;SUB_300;SEN_91582
AGUA;SUB_300;SEN_91581
AGUA;SUB_300;SEN_91584
AGUA;SUB_385;SEN_83070
AGUA;SUB_385;SEN_83069
AGUA;SUB_663;SEN_89798
AGUA;SUB_663;SEN_89797
AGUA;SUB_663;SEN_89792
AGUA;SUB_314;SEN_83636
AGUA;SUB_314;SEN_83635
AGUA;SUB_190;SEN_83647
AGUA;SUB_190;SEN_83646
