type;Subnet;Sensor
AGUA;SUB_509;SEN_83350
AGUA;SUB_91;SEN_84235
AGUA;SUB_530;SEN_91295
ESGOTO;SUB_499;SEN_86982
AGUA;SUB_50;SEN_86419
AGUA;SUB_50;SEN_86420
AGUA;SUB_357;SEN_86425
AGUA;SUB_357;SEN_86426
AGUA;SUB_297;SEN_141658
AGUA;SUB_530;SEN_91290
AGUA;SUB_485;SEN_83187
AGUA;SUB_485;SEN_83186
AGUA;SUB_485;SEN_83189
AGUA;SUB_3;SEN_86644
AGUA;SUB_3;SEN_83256
AGUA;SUB_3;SEN_83255
AGUA;SUB_509;SEN_141688
AGUA;SUB_501;SEN_84176
AGUA;SUB_501;SEN_84175
AGUA;SUB_501;SEN_84178
AGUA;SUB_91;SEN_141775
AGUA;SUB_508;SEN_84505
AGUA;SUB_508;SEN_84504
AGUA;SUB_508;SEN_87002
AGUA;SUB_284;SEN_84840
AGUA;SUB_284;SEN_84839
AGUA;SUB_341;SEN_84926
AGUA;SUB_341;SEN_84925
AGUA;SUB_50;SEN_83255
AGUA;SUB_660;SEN_85174
AGUA;SUB_375;SEN_83189
AGUA;SUB_659;SEN_84178
AGUA;SUB_9;SEN_87002
AGUA;SUB_357;SEN_89159
AGUA;SUB_651;SEN_89158
AGUA;SUB_651;SEN_89161
AGUA;SUB_651;SEN_89159
AGUA;SUB_651;SEN_89160
AGUA;SUB_651;SEN_94661
AGUA;SUB_651;SEN_94662
AGUA;SUB_651;SEN_94664
ESGOTO;SUB_165;SEN_82517
ESGOTO;SUB_165;SEN_82518
ESGOTO;SUB_165;SEN_82512
ESGOTO;SUB_165;SEN_82513
ESGOTO;SUB_165;SEN_86654
ESGOTO;SUB_199;SEN_7050
ESGOTO;SUB_199;SEN_7044
ESGOTO;SUB_211;SEN_7771
ESGOTO;SUB_211;SEN_82683
ESGOTO;SUB_211;SEN_7765
ESGOTO;SUB_211;SEN_82679
ESGOTO;SUB_211;SEN_82682
ESGOTO;SUB_211;SEN_105792
ESGOTO;SUB_211;SEN_105798
ESGOTO;SUB_228;SEN_82742
ESGOTO;SUB_228;SEN_82743
ESGOTO;SUB_228;SEN_82737
ESGOTO;SUB_228;SEN_82738
ESGOTO;SUB_228;SEN_82741
ESGOTO;SUB_462;SEN_80762
ESGOTO;SUB_462;SEN_80764
ESGOTO;SUB_462;SEN_80766
ESGOTO;SUB_472;SEN_81276
ESGOTO;SUB_472;SEN_81258
ESGOTO;SUB_590;SEN_88748
ESGOTO;SUB_616;SEN_80019
ESGOTO;SUB_616;SEN_80020
ESGOTO;SUB_616;SEN_80002
ESGOTO;SUB_616;SEN_80004
ESGOTO;SUB_616;SEN_80018
ESGOTO;SUB_648;SEN_88931
ESGOTO;SUB_648;SEN_88918
ESGOTO;SUB_688;SEN_82503
ESGOTO;SUB_688;SEN_82502
ESGOTO;SUB_688;SEN_82496
ESGOTO;SUB_688;SEN_82501
ESGOTO;SUB_689;SEN_80027
ESGOTO;SUB_689;SEN_80028
ESGOTO;SUB_689;SEN_80031
ESGOTO;SUB_690;SEN_82131
ESGOTO;SUB_690;SEN_82132
ESGOTO;SUB_690;SEN_82126
ESGOTO;SUB_690;SEN_82127
ESGOTO;SUB_690;SEN_82130
ESGOTO;SUB_697;SEN_94326
ESGOTO;SUB_697;SEN_94328
ESGOTO;SUB_697;SEN_94313
ESGOTO;SUB_697;SEN_94315
ESGOTO;SUB_697;SEN_94324
ESGOTO;SUB_715;SEN_102882
ESGOTO;SUB_715;SEN_102788
ESGOTO;SUB_715;SEN_102790
ESGOTO;SUB_715;SEN_102730
ESGOTO;SUB_715;SEN_102735
ESGOTO;SUB_715;SEN_102789
ESGOTO;SUB_715;SEN_86892
ESGOTO;SUB_715;SEN_86894
ESGOTO;SUB_715;SEN_86963
ESGOTO;SUB_607;SEN_73943
AGUA;SUB_854;SEN_141677
AGUA;SUB_865;SEN_141710
AGUA;SUB_884;SEN_141767
AGUA;SUB_485;SEN_83188
